Bounce Points (x, y):
Point 1: (387, 354)
Point 2: (444, 361)
Point 3: (454, 359)
Point 4: (563, 357)
Point 5: (369, 352)
Point 6: (722, 370)
Point 7: (379, 364)
Point 8: (663, 383)
Point 9: (696, 379)
Point 10: (733, 383)
Point 11: (678, 365)
Point 12: (706, 353)
Point 13: (472, 351)
Point 14: (430, 356)
Point 15: (352, 358)
Point 16: (416, 356)
