Bounce Points (x, y):
Point 1: (360, 357)
Point 2: (567, 358)
Point 3: (581, 362)
Point 4: (385, 357)
Point 5: (374, 369)
Point 6: (369, 352)
Point 7: (726, 375)
Point 8: (663, 383)
Point 9: (709, 378)
Point 10: (678, 365)
Point 11: (644, 352)
Point 12: (717, 364)
Point 13: (757, 347)
Point 14: (357, 347)
Point 15: (706, 353)
Point 16: (476, 350)
Point 17: (744, 395)
Point 18: (456, 359)
Point 19: (439, 364)
Point 20: (406, 348)
Point 21: (346, 380)
Point 22: (421, 359)
Point 23: (347, 367)
Point 24: (352, 394)
Point 25: (432, 350)
Point 26: (588, 353)
Point 27: (611, 352)
Point 28: (622, 353)
Point 29: (420, 346)
Point 30: (385, 346)
Point 31: (634, 351)
Point 32: (749, 363)
Point 33: (688, 362)
Point 34: (627, 376)
